
Column	My(ms)	WAH(ms)	My(MB)	WAH(MB)
loOrderDate	9.74	68.57	1802.44	1014.29
loDiscount	2.21	11.67	300.41	310.10
loQuantity	6.88	38.95	1001.36	1033.66
loSuppCity	5.01	19.27	500.68	516.83
custCity	7.83	21.67	500.68	501.72
partMfgr	12.26	194.00	2002.72	2006.12
Total	43.93	354.13	6108.28	5382.72
RTScanSieve	0.00	0.00	24695.7	3420
RTScanRays	0.00	0.00	2505.57	5396

Case	WAH	RTScan
S11	2.1961	0.9978
S12	0.8362	1.1918
S13	0.7833	1.7910
S21	0.7684	99999.9
S22	0.4193	99999.9
S23	0.2069	99999.9
S31	1.1286	99999.9
S32	1.0087	99999.9
S33	0.8631	99999.9
S34	0.4109	99999.9
S41	0.9179	99999.9
S42	1.5734	99999.9
S43	1.5035	99999.9

Case	Join
SSB11	7.1883
SSB12	2.1456
SSB13	2.0308
SSB21	3.9407
SSB22	3.4320
SSB23	3.2515
SSB31	5.5879
SSB32	4.1067
SSB33	3.2706
SSB34	2.2936
SSB41	6.9667
SSB42	5.4611
SSB43	3.8205

Case	PftNprg	OrsNprg	ChkNprg	PftStg1	PftStg2	PftStg3	OrsStg1	OrsStg2	OrsStg3	ChkStg1	ChkStg2	ChkStg3
SSB11	0.6487	0.9765	1.4964	0.2393	0.1270	0.5852	0.6042	0.1267	0.5851	0.6883	0.1682	1.1627
SSB12	0.1743	0.3898	0.4391	0.1886	0.0524	0.0705	0.4137	0.0526	0.0701	0.4756	0.1223	0.1265
SSB13	0.1231	0.2675	0.3037	0.1584	0.0505	0.0314	0.3197	0.0503	0.0310	0.3879	0.1216	0.0414
SSB21	0.7762	0.9954	1.1205	0.1687	0.0680	0.8132	0.4195	0.0686	0.8132	0.4949	0.1513	0.9829
SSB22	0.2587	0.4644	0.5034	0.1631	0.0548	0.2353	0.3969	0.0549	0.2356	0.4774	0.1312	0.2868
SSB23	0.1231	0.1597	0.2215	0.1398	0.0508	0.0463	0.1745	0.0507	0.0464	0.2586	0.1307	0.0819
SSB31	1.8269	2.1849	2.3588	0.2392	0.2248	1.8885	0.6061	0.2244	1.8883	0.6904	0.2698	1.9921
SSB32	0.3245	0.5806	0.6497	0.2031	0.0540	0.2450	0.4770	0.0538	0.2447	0.5592	0.1247	0.2663
SSB33	0.1928	0.3841	0.3775	0.1762	0.0505	0.0606	0.3832	0.0507	0.0602	0.4504	0.1227	0.0620
SSB34	0.1434	0.3443	0.3322	0.1759	0.0486	0.0218	0.3831	0.0487	0.0215	0.4532	0.1230	0.0243
SSB41	1.6522	1.9278	2.4479	0.2392	0.1060	1.7110	0.6060	0.1055	1.7105	0.6904	0.1774	2.1890
SSB42	0.8179	1.1944	1.3737	0.3053	0.0631	0.7639	0.7916	0.0657	0.7662	0.8821	0.1310	0.9630
SSB43	0.2082	0.5731	0.5908	0.2515	0.0524	0.0456	0.6074	0.0583	0.0458	0.6985	0.1288	0.0548

Case	Perfect	ManyOrs	Candchk
SSB11	0.6475	0.9830	1.4021
SSB12	0.1937	0.4087	0.4544
SSB13	0.1704	0.3021	0.3221
SSB21	0.7700	0.9331	1.0709
SSB22	0.2645	0.4741	0.4963
SSB23	0.1397	0.1766	0.2566
SSB31	1.8891	2.2134	2.2380
SSB32	0.3457	0.5840	0.6102
SSB33	0.1962	0.3861	0.3928
SSB34	0.1495	0.3466	0.3326
SSB41	1.6642	1.9208	2.3099
SSB42	0.8052	1.1927	1.3202
SSB43	0.2408	0.5743	0.5801

Seletiv	Method1	Method2
0.00195	0.2528	0.2567
0.00391	0.3228	0.3067
0.00781	0.4056	0.3740
0.01562	0.5467	0.4951
0.03125	0.7389	0.6625
0.06250	1.2188	1.0681
0.12500	1.2190	1.0679

Skew	BitW	Seletiv	Join	Perfect	ManyOrs	CandChk	PftStg1	PftStg2	PftStg3	OrsStg1	OrsStg2	OrsStg3	ChkStg1	ChkStg2	ChkStg3	WAH
1.12	16	0.00391	4.0441	0.2862	0.6440	0.6825	0.2380	0.0560	0.1552	0.6096	0.0574	0.1541	0.6902	0.1231	0.2885	0.0
1.12	16	0.00781	4.3179	0.3389	0.7036	0.8274	0.2378	0.0644	0.2669	0.6096	0.0654	0.2666	0.6905	0.1332	0.5235	0.0
1.12	16	0.01562	4.6232	0.4533	0.8248	1.0937	0.2380	0.0937	0.3892	0.6102	0.0939	0.3894	0.6906	0.1700	0.8429	0.0
1.12	16	0.03125	4.8368	0.5875	0.9677	1.4670	0.2387	0.1510	0.4984	0.6115	0.1508	0.4993	0.6908	0.2222	1.1984	0.0
1.12	16	0.06250	5.1513	0.9027	1.2933	2.5319	0.2376	0.3461	0.8569	0.6096	0.3461	0.8568	0.6905	0.6920	2.1884	0.0
1.12	16	0.12500	7.4847	1.3145	1.7047	3.0665	0.2376	0.7423	1.3537	0.6097	0.7422	1.3537	0.6908	1.0505	2.8602	0.0
1.12	32	0.00391	5.2471	0.2851	0.6426	0.6871	0.2392	0.0562	0.1535	0.6081	0.0621	0.1533	0.6906	0.1245	0.3000	1.3418
1.12	32	0.00781	5.6112	0.3376	0.7026	0.8570	0.2387	0.0654	0.2660	0.6076	0.0647	0.2650	0.6901	0.1355	0.5713	1.3636
1.12	32	0.01562	5.9683	0.4518	0.8237	1.1925	0.2390	0.0937	0.3890	0.6089	0.0936	0.3887	0.6905	0.1710	0.9798	1.3553
1.12	32	0.03125	6.2734	0.5870	0.9676	1.6055	0.2402	0.1520	0.5031	0.6112	0.1514	0.5014	0.6909	0.2221	1.4214	1.3524
1.12	32	0.06250	6.4994	0.9011	1.2895	2.7858	0.2406	0.3488	0.8612	0.6102	0.3486	0.8610	0.6926	0.6948	2.5700	1.3556
1.12	32	0.12500	7.3975	1.3138	1.7028	3.4810	0.2386	0.7416	1.3530	0.6080	0.7415	1.3528	0.6902	1.0499	3.3057	1.3446
1.16	16	0.00391	3.8811	0.2874	0.6437	0.6836	0.2394	0.0605	0.1589	0.6110	0.0592	0.1575	0.6915	0.1251	0.2909	0.0
1.16	16	0.00781	4.1090	0.3368	0.7025	0.8225	0.2397	0.0677	0.2693	0.6116	0.0680	0.2693	0.6927	0.1359	0.5207	0.0
1.16	16	0.01562	4.4392	0.4569	0.8287	1.0938	0.2396	0.0974	0.3974	0.6119	0.0976	0.3959	0.6922	0.1720	0.8478	0.0
1.16	16	0.03125	4.6825	0.5972	0.9789	1.4555	0.2397	0.1574	0.5116	0.6129	0.1569	0.5102	0.6911	0.2203	1.1878	0.0
1.16	16	0.06250	5.1815	0.9267	1.3180	2.6910	0.2403	0.3677	0.8909	0.6117	0.3675	0.8909	0.6925	0.8357	2.4226	0.0
1.16	16	0.12500	5.7095	1.3910	1.7818	3.3239	0.2375	0.8294	1.4496	0.6098	0.8299	1.4496	0.6907	1.2658	3.1413	0.0
1.16	32	0.00391	5.1261	0.2865	0.6432	0.6874	0.2397	0.0569	0.1552	0.6088	0.0580	0.1546	0.6909	0.1251	0.3002	1.3428
1.16	32	0.00781	5.4586	0.3359	0.7011	0.8433	0.2390	0.0644	0.2637	0.6081	0.0651	0.2639	0.6905	0.1351	0.5623	1.3646
1.16	32	0.01562	5.8102	0.4549	0.8268	1.1839	0.2390	0.0942	0.3913	0.6089	0.0943	0.3921	0.6905	0.1711	0.9778	1.3546
1.16	32	0.03125	6.0911	0.5952	0.9760	1.5876	0.2395	0.1555	0.5065	0.6111	0.1551	0.5061	0.6904	0.2189	1.4026	1.3545
1.16	32	0.06250	6.3718	0.9252	1.3158	3.0956	0.2406	0.3669	0.8892	0.6103	0.3668	0.8887	0.6924	0.8347	2.8703	1.3566
1.16	32	0.12500	8.0198	1.3904	1.7785	3.9390	0.2385	0.8294	1.4489	0.6080	0.8292	1.4488	0.6904	1.2656	3.7253	1.3540
