
Column	My(ms)	WAH(ms)	My(MB)	WAH(MB)
loOrderDate	9.90	70.51	1931.27	1131.72
loDiscount	2.36	11.74	321.88	332.26
loQuantity	7.18	39.57	1072.93	1105.92
loSuppCity	5.19	19.47	536.46	553.77
custCity	6.53	21.92	536.46	537.57
partMfgr	13.12	206.46	2145.85	2122.96
Total	44.28	369.67	6544.85	5784.20
RTScanSiev/Rays	39796.2	4560	1377.23	6004

Case	Join
SSB11	4.2901
SSB12	2.3423
SSB13	2.1584
SSB21	4.2164
SSB22	3.6499
SSB23	3.4166
SSB31	6.0035
SSB32	4.4047
SSB33	3.4997
SSB34	2.4130
SSB41	7.3573
SSB42	5.5480
SSB43	3.9312

Case	PftNprg	OrsNprg	ChkNprg	PftStg1	PftStg2	PftStg3	OrsStg1	OrsStg2	OrsStg3	ChkStg1	ChkStg2	ChkStg3
SSB11	0.7173	1.1000	1.6810	0.2561	0.1392	0.6988	0.6575	0.1402	0.6709	0.7440	0.1875	1.3284
SSB12	0.1930	0.4410	0.4928	0.2110	0.0658	0.0798	0.4725	0.0636	0.0750	0.5513	0.1306	0.1393
SSB13	0.1352	0.2909	0.3217	0.1711	0.0616	0.0272	0.3565	0.0646	0.0314	0.4528	0.1301	0.0368
SSB21	0.8143	0.9954	1.1673	0.1856	0.0712	0.8571	0.4544	0.0721	0.8562	0.5395	0.1587	1.0349
SSB22	0.2769	0.4937	0.5340	0.1775	0.0635	0.2482	0.4304	0.0646	0.2484	0.5197	0.1328	0.3030
SSB23	0.1341	0.1761	0.2398	0.1513	0.0627	0.0446	0.1910	0.0628	0.0448	0.2977	0.1312	0.0814
SSB31	2.0341	2.3760	2.5518	0.2563	0.2558	2.0781	0.6559	0.2564	2.0780	0.7424	0.3079	2.1932
SSB32	0.3295	0.5981	0.6386	0.2196	0.0634	0.2723	0.5151	0.0633	0.2724	0.6073	0.1305	0.2937
SSB33	0.1846	0.3872	0.4078	0.1880	0.0615	0.0622	0.4148	0.0613	0.0624	0.4959	0.1297	0.0660
SSB34	0.1371	0.3522	0.3544	0.1879	0.0618	0.0181	0.4145	0.0608	0.0183	0.4976	0.1295	0.0210
SSB41	1.7513	2.0409	2.5747	0.2563	0.1123	1.8063	0.6556	0.1128	1.8053	0.7427	0.1895	2.3133
SSB42	0.7674	1.1854	1.3361	0.3285	0.0656	0.6962	0.8511	0.0659	0.6962	0.9394	0.1336	0.8776
SSB43	0.2206	0.5969	0.6228	0.2689	0.0629	0.0366	0.6525	0.0616	0.0352	0.7543	0.1299	0.0423

Case	Perfect	ManyOrs	Candchk
SSB11	0.7150	1.1039	1.6079
SSB12	0.2118	0.4584	0.5040
SSB13	0.1639	0.3303	0.3527
SSB21	0.8139	0.9886	1.1145
SSB22	0.2826	0.5047	0.5277
SSB23	0.1525	0.1945	0.2758
SSB31	2.0303	2.3702	2.4174
SSB32	0.3451	0.6166	0.6487
SSB33	0.2133	0.4165	0.4256
SSB34	0.1593	0.3689	0.3549
SSB41	1.7375	2.0301	2.4199
SSB42	0.7689	1.1827	1.2989
SSB43	0.2467	0.6106	0.6136

Seletiv	Method1	Method2
0.01000	0.2258	0.2314
0.02000	0.2661	0.2697
0.03000	0.3012	0.2901
0.04000	0.3402	0.3161
0.05000	0.3767	0.3447
0.06000	0.4277	0.3981
0.07000	0.4681	0.4461
0.08000	0.5114	0.4792

Skew	BitW	Seletiv	Join	Perfect	ManyOrs	CandChk	PftStg1	PftStg2	PftStg3	OrsStg1	OrsStg2	OrsStg3	ChkStg1	ChkStg2	ChkStg3	WAH
1.12	16	0.03125	4.1478	0.2866	0.6637	0.7166	0.2560	0.0634	0.1100	0.6605	0.0635	0.1097	0.7444	0.1305	0.2023	0.0
1.12	16	0.06250	4.6228	0.3687	0.7571	0.9183	0.2560	0.0696	0.2909	0.6607	0.0696	0.2909	0.7444	0.1476	0.5810	0.0
1.12	16	0.12500	5.1848	0.6503	1.0529	1.7046	0.2562	0.1722	0.5525	0.6611	0.1730	0.5522	0.7444	0.2659	1.3526	0.0
1.12	32	0.00781	4.5444	0.2262	0.6144	0.6225	0.2562	0.0614	0.0209	0.6575	0.0616	0.0210	0.7449	0.1351	0.0271	0.6530
1.12	32	0.01562	4.8600	0.2394	0.6224	0.6605	0.2578	0.0630	0.0389	0.6612	0.0627	0.0389	0.7455	0.1296	0.0689	1.0655
1.12	32	0.03125	5.3591	0.2859	0.6635	0.7210	0.2568	0.0634	0.1089	0.6601	0.0634	0.1087	0.7444	0.1308	0.2072	1.3896
1.12	32	0.06250	6.0087	0.3665	0.7572	0.9503	0.2569	0.0696	0.2899	0.6600	0.0697	0.2902	0.7444	0.1507	0.6381	1.4577
1.12	32	0.12500	6.6873	0.6477	1.0536	1.9017	0.2565	0.1720	0.5536	0.6602	0.1723	0.5537	0.7444	0.2648	1.6020	1.4649
1.16	16	0.00781	3.1557	0.2272	0.6144	0.6224	0.2558	0.0616	0.0212	0.6576	0.0616	0.0214	0.7455	0.1336	0.0277	0.0
1.16	16	0.01562	3.5804	0.2407	0.6225	0.6605	0.2575	0.0633	0.0388	0.6615	0.0630	0.0390	0.7454	0.1292	0.0684	0.0
1.16	16	0.03125	3.9879	0.2866	0.6631	0.7160	0.2562	0.0633	0.1094	0.6606	0.0635	0.1090	0.7443	0.1305	0.2010	0.0
1.16	16	0.06250	4.4441	0.3707	0.7594	0.9203	0.2558	0.0696	0.2937	0.6607	0.0698	0.2933	0.7441	0.1469	0.5839	0.0
1.16	16	0.12500	5.0411	0.6575	1.0606	1.6723	0.2562	0.1768	0.5610	0.6608	0.1775	0.5613	0.7440	0.2571	1.3258	0.0
1.16	32	0.00781	4.5156	0.2259	0.6140	0.6227	0.2563	0.0614	0.0204	0.6572	0.0614	0.0204	0.7450	0.1346	0.0282	0.6527
1.16	32	0.01562	4.7949	0.2394	0.6222	0.6606	0.2579	0.0629	0.0389	0.6611	0.0626	0.0389	0.7455	0.1295	0.0686	1.0650
1.16	32	0.03125	5.2437	0.2859	0.6634	0.7208	0.2570	0.0633	0.1084	0.6603	0.0634	0.1083	0.7443	0.1308	0.2053	1.3882
1.16	32	0.06250	5.8552	0.3689	0.7596	0.9536	0.2567	0.0697	0.2933	0.6599	0.0697	0.2935	0.7442	0.1507	0.6423	1.4571
1.16	32	0.12500	6.4975	0.6565	1.0623	1.8626	0.2569	0.1767	0.5620	0.6602	0.1770	0.5615	0.7443	0.2567	1.5631	1.4530
1.20	16	0.00781	3.0869	0.2264	0.6138	0.6208	0.2561	0.0620	0.0216	0.6577	0.0614	0.0210	0.7452	0.1337	0.0275	0.0
1.20	16	0.01562	3.4772	0.2399	0.6226	0.6601	0.2574	0.0633	0.0390	0.6616	0.0633	0.0391	0.7456	0.1292	0.0687	0.0
1.20	16	0.03125	3.8634	0.2878	0.6638	0.7173	0.2562	0.0634	0.1103	0.6613	0.0639	0.1107	0.7444	0.1304	0.2034	0.0
1.20	16	0.06250	4.2843	0.3698	0.7579	0.9192	0.2559	0.0696	0.2918	0.6609	0.0702	0.2923	0.7446	0.1473	0.5823	0.0
1.20	16	0.12500	4.8737	0.6504	1.0526	1.6331	0.2563	0.1722	0.5519	0.6612	0.1731	0.5524	0.7444	0.2453	1.2918	0.0
1.20	32	0.00781	4.4989	0.2258	0.6145	0.6223	0.2561	0.0615	0.0208	0.6571	0.0614	0.0208	0.7446	0.1352	0.0274	0.6532
1.20	32	0.01562	4.7566	0.2385	0.6224	0.6606	0.2579	0.0630	0.0388	0.6612	0.0628	0.0387	0.7456	0.1296	0.0681	1.0877
1.20	32	0.03125	5.1794	0.2861	0.6634	0.7215	0.2567	0.0635	0.1098	0.6601	0.0633	0.1098	0.7445	0.1312	0.2085	1.3902
1.20	32	0.06250	5.7476	0.3685	0.7590	0.9514	0.2569	0.0699	0.2929	0.6601	0.0697	0.2924	0.7443	0.1507	0.6399	1.4581
1.20	32	0.12500	6.3306	0.6484	1.0540	1.8177	0.2568	0.1720	0.5547	0.6603	0.1722	0.5549	0.7444	0.2448	1.5230	1.4530
